ID,Issue ID,GitHub Issue,user added labels?,Do not count,Why do not count?,Confirmed Reproduced,num_events_before_label_ALL,num_comments_before_label_ALL,num_comments_before_confirmation,time_at_confirmation,num_comments_before_label,num_comments_before_close,num_events,num_events_before_label,num_events_before_close,times_reopened,Commit,user or dev,Time opened,time bug labeled,time of first comment from a dev,time closed,time commited,number of comments,time between open and close,Time between open and label,time between open and first comment,time between open and commit,time between label and close,time between label and comment,time between label and commit,time between comment and close,time between comment and commit,time between close and commit,"Type of additional info added (S2R, OB, context, EB)","value of additional info (number of S2Rs and whether they are setup steps or not, type of context, etc)","how is the information presented? (Image, text, annotated image, video, etc)",timestamp of additional info,time between added info and issue open,time between added info and bug label,time between added info and dev comment,time between added info and close,time between added info and commit,additional notes,comment number,"Type of additional info added (S2R, OB, context, EB).1","value of additional info (number of S2Rs and whether they are setup steps or not, type of context, etc).1","how is the information presented? (Image, text, annotated image, video, etc).1",timestamp of additional info.1,time between added info and issue open.1,time between added info and bug label.1,time between added info and dev comment.1,time between added info and close.1,time between added info and commit.1,additional notes.1,comment number.1,"Type of additional info added (S2R, OB, context, EB).2","value of additional info (number of S2Rs and whether they are setup steps or not, type of context, etc).2","how is the information presented? (Image, text, annotated image, video, etc).2",timestamp of additional info.2,time between added info and issue open.2,time between added info and bug label.2,time between added info and dev comment.2,time between added info and close.2,time between added info and commit.2,additional notes.2,comment number.2,Unique Comments with Added Info,RQ2_Tag,# of Bug Report S2Rs,# of Script Setup Steps,# of Script BR-Specific Steps,# of Unlinked Script S2Rs,# of S2Rs that Lead to Multiple GUI actions,# of gui actions,OB Specificity,"S2R Type (Image, Annotated Image, Text, Recording)","OB Type (Image, Annotated Image, Text, Recording)","EB Type (Image, Annotated Image, Text, Recording)","Context Type (Image, Annotated Image, Text, Recording)","Context Content (phone type, app version, os, etc)",notes on issue,ones,Confrimation Status,User Added Labels,Bug Fix Result,Confirmation Timestamp,Comments Before Confirmation,User Assigned Dev,User Labeled as Bug?,Do not count.1,new_rq2_tag,Navigation?,rq6_setup_ratio,rq6_unlinked_ratio,rq6_ratio,rq5_s2r,true_time_b4_repro,true_comments_before_label,developer requested info,cosmetic type,output category,external flle,Annotated Text?,,S2R Annotated Text?,OB Annotated Text?
2,2,https://github.com/zwieback/FamilyFinance/issues/1,0,1,Already fixed when the report was submitted,,3,2,,,2,2,6,3,3,0,d365188d7c7b9d9eb0021e73e0c6dc37aba79a3f,USER,5/30/19 1:48,6/6/19 0:00,5/31/19 0:00,5/31/19 0:00,5/31/19 0:00,2,-34:42:10,172.5636111,-34:27:47,-22:11:32,137:51:39,138:06:02,150:22:17,-0:14:23,12:16:15,12:30:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,crash,6,0,6,0,0,6,1,"['text', 'recording']","['logcat', 'text', 'recording']",['text'],['text'],"['os', 'phone type']",,1,Implicitly Reproduced,0,Fixed,,,,,1,crash,,0,0,0,0,172.5636111,2,,,,,gui,,1,1
7,7,https://github.com/vbier/habpanelviewer/issues/25,0,,,1,3,7,,,4,5,18,1,7,1,2adbfce4039a6501bf2512a765ced223c53da315,USER,12/29/18 19:47,1/2/19 0:00,12/29/18 0:00,1/3/19 0:00,1/3/19 0:00,9,-116:48:01,94.3975,-0:15:20,-100:12:54,-22:24:10,94:08:31,-5:49:03,-116:32:41,-99:57:34,16:35:07,OB,text,text,##########,63:52:54,-30:30:57,63:37:34,-52:55:07,-36:20:00,"logcat file was made and sent to devs, but is not available on github",6,,,,,,,,,,,,,,,,,,,,,,,1,crash,2,1,5,0,0,5,1,['text'],['text'],['text'],['text'],"['os', 'phone type']",,1,Implicitly Reproduced,0,Fixed,,,,,,crash,,0.166666667,0,0.166666667,0,94.3975,7,1,,,,0,,,
8,8,https://github.com/koelleChristian/trickytripper/issues/42,0,,,1,3,6,,,2,3,10,3,4,0,7ef227ada3454529c7def79e41f48f6fa7b7463c,USER,11/18/18 7:38,1/9/19 0:00,11/20/18 0:00,1/9/19 0:00,1/9/19 0:00,7,-1261:17:21,1260.026111,-61:57:10,-1240:21:06,-1:15:47,1198:04:24,19:40:28,-1199:20:11,-1178:23:56,20:56:15,S2R,"3 setup,3 bug",text,##########,478:06:06,-781:55:28,416:08:56,-783:11:15,-762:15:00,,2,OB,image,image,12/8/18,478:06:06,-781:55:28,416:08:56,-783:11:15,-762:15:00,,2,,,,,,,,,,,,1,crash,3,1,5,0,1,11,1,['text'],['logcat'],['none'],['text'],"['app version', 'os', 'phone type']",,1,Explicitly Reproduced,0,Fixed,2019-01-09T19:40:28Z,6,,,,crash,,0.166666667,0,0.166666667,0.333333333,1260.041111,6,1,,,,gui,,1,0
10,10,https://github.com/zhanghai/MaterialFiles/issues/184,0,,,1,1,1,2,2019-11-27T00:10:07Z,1,3,10,1,5,0,003408bb61478c32f3119f7cb5e301db44caa199,USER,11/25/19 19:40,11/26/19 0:00,11/26/19 0:00,11/27/19 0:00,11/26/19 0:00,4,-31:25:29,13.91888889,-13:55:05,-4:19:19,-17:30:21,0:00:03,9:35:49,-17:30:24,9:35:46,27:06:10,S2R,1 bug,text,##########,24:18:19,10:23:11,10:23:14,-7:07:10,19:59:00,,2,,,,,,,,,,,,,,,,,,,,,,,1,gui,5,1,9,3,2,10,1,['text'],['text'],['text'],['text'],"['app version', 'installer', 'kernel', 'os', 'phone type']",,1,Explicitly Reproduced,0,Fixed,2019-11-27T00:10:07Z,2,,,,output,,0.076923077,0.230769231,0.307692308,0.4,28.50194444,2,1,,missing function,,0,,,
11,11,https://github.com/gauravjot/android-noad-music-player/issues/1,0,,,1,2,0,,,0,2,10,2,5,0,d3ab226c2d0e67b597a4d2cde1d652ceff6c1f52,USER,5/22/19 18:14,5/22/19 0:00,5/22/19 0:00,5/22/19 0:00,8/9/19 0:00,2,-4:06:27,0.304444444,-0:40:27,-1877:45:12,-3:48:11,-0:22:11,-1877:26:56,-3:26:00,-1877:04:45,-1873:38:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,crash,4,8,2,0,0,2,1,"['text', 'recording']","['logcat', 'text', 'recording']",['text'],['text'],"['app version', 'os', 'phone type']",,1,Implicitly Reproduced,0,Fixed,,,,,,crash,,0.8,0,0.8,0,0.304444444,0,,,,,0,,,
18,18,https://github.com/citiususc/calendula/issues/134,0,,,1,1,0,,,0,2,10,1,5,0,6f0dcf6070cd132eba51824ebbfa743eb22b0568,USER,8/16/18 23:42,8/20/18 0:00,8/23/18 0:00,8/24/18 0:00,8/24/18 0:00,2,-178:13:37,81.23694444,-168:02:54,-168:17:13,-96:59:24,-86:48:41,-87:03:00,-10:10:43,-0:14:19,9:56:24,context,"app version, phone type, os",text,##########,168:02:13,86:48:00,-0:00:41,-10:11:24,-0:15:00,,1,,,,,,,,,,,,,,,,,,,,,,,1,crash,2,2,4,0,1,19,1,['text'],"['logcat', 'text']",['text'],['text'],['app version'],,1,Implicitly Reproduced,0,Fixed,,,,,,crash,,0.333333333,0,0.333333333,0.5,81.23694444,0,0,,,,gui,,1,0
19,19,https://github.com/streetcomplete/StreetComplete/issues/1093,,,,0,1,0,,,0,0,4,1,2,0,8a2cb5df10f4aea90c79a2d111c989ae1830544a,USER,6/1/18 3:50,6/3/18 0:00,,6/7/18 0:00,6/7/18 0:00,0,-160:39:34,57.50472222,,-140:09:19,-103:09:17,,-82:39:02,,,20:30:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,gui,3,1,4,0,1,5,1,['text'],['text'],['text'],['text'],"['app version', 'os']",,1,Implicitly Reproduced,0,Fixed,,,,,,cosmetic,,0.2,0,0.2,0.333333333,57.50472222,0,,cursor,,,input,,1,0
21,21,https://github.com/netmackan/ATimeTracker/issues/121,0,,,1,1,4,,,3,7,14,1,7,0,394ccfc0c04223a263411e8af4487458e848d319,USER,2/11/19 11:48,2/17/19 0:00,2/11/19 0:00,2/22/19 0:00,2/17/19 0:00,9,-272:36:53,147.6625,-4:24:35,-132:11:33,-124:57:08,143:15:10,15:28:12,-268:12:18,-127:46:58,140:25:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,gui,3,1,7,0,1,8,1,['text'],['text'],['text'],['text'],"['app version', 'os', 'phone type']",,1,Explicitly Reproduced,0,Fixed,2019-02-17T15:27:49Z,3,,,,navigation,1,0.125,0,0.125,0.333333333,147.6636111,3,,,,,gui,,0,1
22,22,https://github.com/netmackan/ATimeTracker/issues/124,0,,,1,4,1,,,1,5,14,4,7,0,394ccfc0c04223a263411e8af4487458e848d319,USER,2/14/19 14:59,2/17/19 0:00,2/17/19 0:00,2/22/19 0:00,2/17/19 0:00,7,-197:26:34,73.69277778,-73:33:27,-57:00:37,-123:45:00,0:08:07,16:40:57,-123:53:07,16:32:50,140:25:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,gui,3,1,4,0,1,11,0,['text'],['text'],['text'],['text'],"['os', 'phone type']",,1,Implicitly Reproduced,0,Fixed,,,,,,cosmetic,,0.2,0,0.2,0.333333333,73.69277778,1,,useability,,,gui,,1,1
23,23,https://github.com/SecUSo/privacy-friendly-weather/issues/61,,,,0,1,0,,,0,0,4,1,2,0,de7d145b82ae5e06991ba1b9a598d8ec6647f1f9,USER,3/24/18 12:05,3/26/18 0:00,,3/13/19 0:00,3/13/19 0:00,0,-8504:00:23,44.6925,,-8483:54:24,-8459:18:50,,-8439:12:51,,,20:05:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,crash,4,1,1,0,0,4,1,"['text', 'recording']","['text', 'recording']",['text'],['text'],"['app version', 'os', 'phone type']",,1,implicitly Reproduced,0,Fixed,,,,,,crash,,0.5,0,0.5,0,44.6925,0,,,,,gui,,1,1
27,27,https://github.com/fossasia/phimpme-android/issues/1837,,,,0,2,1,,,1,1,4,2,2,0,85050f3b1cefe5f84dcad514efc884a430801139,USER,2/11/18 12:42,,2/19/18 0:00,8/14/18 0:00,,1,-4415:30:38,,-190:34:13,,,,,-4224:56:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,gui,4,8,1,0,0,4,1,['text'],"['annotated image', 'text']",['text'],['none'],['none'],,1,implicitly Reproduced,0,Closed,,,,,,cosmetic,,0.888888889,0,0.888888889,0,,1,,orientation,,,0,,,
35,35,https://github.com/ccrama/Slide/issues/2773,0,,,1,1,3,2,2018-05-19T14:19:27Z,2,3,4,1,2,0,e1c5681e628efd895d6f513047d94b618c00a144,USER,5/17/18 16:17,8/8/18 0:00,5/19/18 0:00,1/27/19 0:00,,4,-6123:13:07,1985.281667,-44:59:13,,-4137:56:13,1940:17:41,,-6078:13:54,,,S2R,1 setup,text,##########,46:01:13,-1939:15:41,1:02:00,-6077:11:54,,,2,,,,,,,,,,,,,,,,,,,,,,,1,gui,4,2,9,0,2,21,1,['text'],['text'],['text'],['text'],"['app version', 'os']",,1,Explicitly Reproduced,0,Fixed,2018-05-19T14:19:27Z,2,,,,output,,0.181818182,0,0.181818182,0.5,46.04083333,2,1,,missing function,,gui,no quotes,1,0
43,43,https://github.com/federicoiosue/Omni-Notes/issues/592,0,,,1,5,2,,,2,2,10,5,5,0,5cc16b32eb5e65e6f8381d7ca097a3a8aabea57e,USER,9/8/18 13:36,,9/15/18 0:00,10/23/18 0:00,,2,-1068:05:54,,-170:07:12,,,,,-897:58:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,app close,2,8,3,1,1,31,1,['text'],['text'],['text'],['text'],"['app version', 'os', 'phone type']",,1,implicitly Reproduced,0,Fixed,,,,,,crash,,0.666666667,0.083333333,0.75,0.5,,2,,,,,gui,,1,1
