bug_id,rank
2,"[8, 9]"
8,[]
10,"[144, 146, 148]"
18,"[30, 53]"
19,[]
44,[69]
45,[115]
53,[]
54,[37]
71,[13]
76,"[28, 32]"
92,[94]
101,[83]
106,"[54, 89]"
117,[]
128,"[4, 6]"
129,[32]
130,[]
135,[11]
158,"[7, 148]"
162,[]
191,[6]
192,[]
198,"[9, 13, 23]"
199,[]
200,[]
201,[]
206,[]
209,[58]
248,[95]
256,[]
1073,[104]
1096,[]
1146,[]
1147,[1]
1150,[]
1151,[]
1198,[1]
1202,[]
1205,"[4, 11, 12, 13, 14, 19]"
1207,[21]
1223,[]
1224,[]
1226,[]
1228,[]
1299,[]
1389,"[2, 8, 15]"
1399,[]
1406,[]
1425,"[9, 39]"
1430,[1]
1441,[16]
1445,[60]
1446,[25]
1481,[]
1563,[]
